N,P,K,temperature,humidity,ph,rainfall,NPK_sum,N_to_P_ratio,temp_humidity_interaction,label
22.4,60.0,33.3,23.85,35.29,8.18,77.9,115.7,0.3733,8.4167,chickpea
32.6,61.8,24.4,23.93,57.18,7.07,80.3,118.8,0.5275,13.6832,chickpea
18.0,49.3,36.6,19.29,47.06,6.75,45.5,103.9,0.3651,9.0779,chickpea
20.7,46.4,31.2,23.08,55.62,6.54,53.5,98.3,0.4461,12.8371,chickpea
41.7,62.3,31.5,17.63,39.34,7.01,86.1,135.5,0.6693,6.9356,chickpea
18.8,37.9,27.9,17.73,59.37,7.05,66.7,84.6,0.496,10.5263,chickpea
16.9,54.4,25.5,14.12,38.28,7.14,99.0,96.8,0.3107,5.4051,chickpea
29.4,36.3,32.0,24.18,44.65,6.98,97.4,97.7,0.8099,10.7964,chickpea
12.5,60.7,26.7,17.84,42.02,7.35,92.9,99.9,0.2059,7.4964,chickpea
23.6,47.4,40.9,19.68,35.97,6.94,112.8,111.9,0.4979,7.0789,chickpea
37.9,62.7,22.4,17.72,50.76,6.33,78.5,123.0,0.6045,8.9947,chickpea
15.7,54.9,39.2,21.74,64.45,7.04,91.7,109.8,0.286,14.0114,chickpea
13.1,37.8,29.3,19.06,71.34,6.15,69.5,80.2,0.3466,13.5974,chickpea
16.0,64.2,31.8,16.74,50.78,7.24,124.1,112.0,0.2492,8.5006,chickpea
30.4,65.5,35.0,21.1,58.93,6.71,115.7,130.9,0.4641,12.4342,chickpea
31.7,58.8,26.2,16.42,51.86,7.17,80.2,116.7,0.5391,8.5154,chickpea
21.9,42.4,35.2,17.91,53.99,7.63,87.0,99.5,0.5165,9.6696,chickpea
29.1,46.9,13.8,14.73,47.26,6.72,104.5,89.8,0.6205,6.9614,chickpea
33.3,51.5,25.7,16.44,51.56,7.52,77.4,110.5,0.6466,8.4765,chickpea
35.7,43.0,24.5,20.45,54.3,6.93,68.2,103.2,0.8302,11.1044,chickpea
23.5,66.9,22.5,15.09,45.37,7.8,95.7,112.9,0.3513,6.8463,chickpea
11.2,51.4,28.7,16.3,49.38,6.95,81.4,91.3,0.2179,8.0489,chickpea
20.1,23.0,32.3,19.99,49.53,6.76,83.3,75.4,0.8739,9.901,chickpea
22.4,53.4,34.2,18.64,56.61,7.37,65.0,110.0,0.4195,10.5521,chickpea
23.4,46.5,31.4,24.98,41.47,6.93,49.1,101.3,0.5032,10.3592,chickpea
23.9,49.3,26.0,24.58,49.59,6.76,84.3,99.2,0.4848,12.1892,chickpea
31.7,46.3,32.2,17.83,65.3,6.91,96.3,110.2,0.6847,11.643,chickpea
32.6,58.1,30.7,21.39,59.31,7.08,75.9,121.4,0.5611,12.6864,chickpea
24.0,61.2,35.6,21.87,60.79,7.64,105.9,120.8,0.3922,13.2948,chickpea
31.6,52.8,34.7,18.51,50.2,6.33,67.3,119.1,0.5985,9.292,chickpea
27.1,46.6,30.2,16.26,52.57,7.11,61.0,103.9,0.5815,8.5479,chickpea
25.4,49.6,24.6,19.97,58.02,7.35,78.8,99.6,0.5121,11.5866,chickpea
30.4,50.2,26.1,19.57,62.48,7.18,78.5,106.7,0.6056,12.2273,chickpea
25.4,42.0,26.7,18.91,34.39,7.62,93.9,94.1,0.6048,6.5031,chickpea
37.3,55.8,28.1,21.11,39.48,7.07,66.1,121.2,0.6685,8.3342,chickpea
16.4,54.6,31.6,18.12,60.48,7.03,104.6,102.6,0.3004,10.959,chickpea
21.9,65.4,34.3,17.12,47.78,7.34,115.4,121.6,0.3349,8.1799,chickpea
24.2,62.6,29.7,20.27,44.63,7.14,79.3,116.5,0.3866,9.0465,chickpea
27.6,43.1,30.1,20.96,39.97,6.94,102.5,100.8,0.6404,8.3777,chickpea
32.6,58.2,30.9,17.06,45.56,7.31,61.0,121.7,0.5601,7.7725,chickpea
24.9,40.5,26.9,22.32,38.78,6.84,99.4,92.3,0.6148,8.6557,chickpea
16.5,57.0,24.4,15.57,66.73,6.86,98.9,97.9,0.2895,10.3899,chickpea
30.1,44.8,19.5,18.55,49.82,6.89,95.5,94.4,0.6719,9.2416,chickpea
29.5,39.8,25.8,19.35,49.54,7.64,79.7,95.1,0.7412,9.586,chickpea
13.3,52.8,32.8,18.41,54.7,5.81,26.8,98.9,0.2519,10.0703,chickpea
25.0,23.3,25.8,18.59,57.7,7.26,68.4,74.1,1.073,10.7264,chickpea
15.5,32.5,28.6,24.68,57.57,7.11,68.7,76.6,0.4769,14.2083,chickpea
21.0,48.2,32.8,17.87,58.59,6.43,62.4,102.0,0.4357,10.47,chickpea
19.6,50.8,33.1,26.1,44.95,7.22,82.2,103.5,0.3858,11.732,chickpea
29.9,46.3,23.5,21.09,47.62,7.29,72.5,99.7,0.6458,10.0431,chickpea
25.7,34.2,36.0,20.23,56.15,7.34,65.2,95.9,0.7515,11.3591,chickpea
17.3,41.8,36.8,21.19,45.78,6.04,60.9,95.9,0.4139,9.7008,chickpea
30.3,53.9,23.2,26.32,49.96,7.65,67.1,107.4,0.5622,13.1495,chickpea
16.4,55.8,25.1,17.52,53.19,6.8,100.2,97.3,0.2939,9.3189,chickpea
27.0,49.8,37.1,17.2,56.28,7.37,68.1,113.9,0.5422,9.6802,chickpea
20.1,61.6,29.1,18.11,35.78,7.4,70.7,110.8,0.3263,6.4798,chickpea
22.8,54.0,16.7,20.08,55.72,6.75,71.8,93.5,0.4222,11.1886,chickpea
28.0,42.5,21.6,15.69,48.13,7.36,86.1,92.1,0.6588,7.5516,chickpea
28.1,47.2,28.5,20.06,55.66,6.95,88.2,103.8,0.5953,11.1654,chickpea
33.0,36.0,23.0,24.23,56.22,6.27,25.2,92.0,0.9167,13.6221,chickpea
24.5,48.9,27.5,20.38,62.86,7.57,98.4,100.9,0.501,12.8109,chickpea
26.8,61.1,30.2,19.27,60.83,6.79,105.9,118.1,0.4386,11.7219,chickpea
22.4,56.9,38.8,18.45,60.77,6.76,61.1,118.1,0.3937,11.2121,chickpea
26.1,64.0,28.3,22.25,61.55,6.94,62.5,118.4,0.4078,13.6949,chickpea
27.6,47.0,36.4,17.94,52.33,7.21,71.9,111.0,0.5872,9.388,chickpea
24.4,63.5,38.6,24.62,50.26,7.08,66.4,126.5,0.3843,12.374,chickpea
14.2,48.1,38.6,24.83,56.98,7.32,84.0,100.9,0.2952,14.1481,chickpea
27.0,64.7,31.7,20.64,55.86,6.56,45.0,123.4,0.4173,11.5295,chickpea
27.2,49.8,18.2,19.97,47.53,6.8,59.9,95.2,0.5462,9.4917,chickpea
20.9,57.1,32.8,22.58,53.24,7.05,107.7,110.8,0.366,12.0216,chickpea
17.3,64.8,36.3,22.74,49.72,7.86,63.3,118.4,0.267,11.3063,chickpea
33.9,48.1,29.5,17.99,43.17,7.05,102.4,111.5,0.7048,7.7663,chickpea
27.9,52.2,40.5,18.68,60.32,7.53,86.4,120.6,0.5345,11.2678,chickpea
23.6,62.9,35.2,16.69,50.44,7.12,47.4,121.7,0.3752,8.4184,chickpea
18.2,48.7,33.4,21.02,66.39,6.91,91.4,100.3,0.3737,13.9552,chickpea
20.1,36.8,36.5,21.67,37.0,7.0,77.9,93.4,0.5462,8.0179,chickpea
32.8,71.4,32.0,16.63,45.55,7.03,71.8,136.2,0.4594,7.575,chickpea
25.8,45.3,15.0,18.86,50.26,7.34,84.4,86.1,0.5695,9.479,chickpea
21.7,51.6,27.0,16.63,59.1,7.65,88.5,100.3,0.4205,9.8283,chickpea
28.1,61.6,37.2,17.75,53.2,7.24,92.7,126.9,0.4562,9.443,chickpea
20.1,43.9,25.2,21.38,52.48,7.57,101.2,89.2,0.4579,11.2202,chickpea
34.0,39.9,28.7,18.17,40.98,6.71,87.3,102.6,0.8521,7.4461,chickpea
33.1,52.5,23.7,19.25,40.74,6.93,55.2,109.3,0.6305,7.8425,chickpea
22.2,32.1,40.7,15.93,52.58,6.81,71.5,95.0,0.6916,8.376,chickpea
21.2,47.1,40.1,20.47,39.09,7.23,133.0,108.4,0.4501,8.0017,chickpea
9.3,52.5,24.7,19.89,45.74,6.96,93.0,86.5,0.1771,9.0977,chickpea
16.1,47.3,30.9,18.18,54.01,7.39,122.6,94.3,0.3404,9.819,chickpea
17.0,34.6,25.9,19.53,42.14,6.73,105.1,77.5,0.4913,8.2299,chickpea
25.8,65.9,33.7,20.45,62.84,7.12,84.4,125.4,0.3915,12.8508,chickpea
23.0,51.0,33.1,17.96,59.79,7.37,85.4,107.1,0.451,10.7383,chickpea
16.9,64.3,34.9,16.31,37.43,6.27,79.3,116.1,0.2628,6.1048,chickpea
23.3,47.4,32.0,24.51,42.54,7.95,48.7,102.7,0.4916,10.4266,chickpea
28.0,41.2,47.6,18.42,31.71,6.99,80.3,116.8,0.6796,5.841,chickpea
28.2,52.7,23.8,19.76,43.74,6.29,101.8,104.7,0.5351,8.643,chickpea
13.6,47.8,19.7,22.53,56.13,7.16,69.2,81.1,0.2845,12.6461,chickpea
24.2,38.2,27.6,28.82,46.69,7.11,87.4,90.0,0.6335,13.4561,chickpea
16.7,64.7,20.6,16.89,53.69,7.07,95.3,102.0,0.2581,9.0682,chickpea
30.4,43.8,21.0,21.12,37.82,7.5,63.6,95.2,0.6941,7.9876,chickpea
29.7,31.6,24.0,18.23,56.38,7.4,71.9,85.3,0.9399,10.2781,chickpea
19.6,63.3,24.5,18.65,45.56,7.22,61.7,107.4,0.3096,8.4969,chickpea
20.4,45.0,24.3,18.2,50.1,7.28,65.2,89.7,0.4533,9.1182,chickpea
22.2,43.9,33.1,17.19,49.26,7.06,56.8,99.2,0.5057,8.4678,chickpea
11.5,32.3,27.0,19.9,39.83,7.81,63.8,70.8,0.356,7.9262,chickpea
27.0,67.4,28.9,16.31,40.78,6.51,105.6,123.3,0.4006,6.6512,chickpea
19.5,72.3,36.6,24.5,48.68,5.4,132.7,128.4,0.2697,11.9266,pigeonpeas
25.8,56.2,27.7,24.96,67.82,6.26,113.3,109.7,0.4591,16.9279,pigeonpeas
22.0,62.5,29.6,24.61,57.84,6.36,88.6,114.1,0.352,14.2344,pigeonpeas
32.1,56.0,32.9,27.58,48.88,5.66,114.2,121.0,0.5732,13.4811,pigeonpeas
32.9,48.3,36.5,26.52,70.82,6.02,148.4,117.7,0.6812,18.7815,pigeonpeas
30.2,32.6,28.0,25.33,76.8,5.61,187.8,90.8,0.9264,19.4534,pigeonpeas
26.8,57.1,39.1,28.28,59.67,6.58,178.7,123.0,0.4694,16.8747,pigeonpeas
23.6,47.2,17.2,32.17,77.27,7.01,151.9,88.0,0.5,24.8578,pigeonpeas
17.8,47.0,34.6,31.92,60.73,7.15,135.3,99.4,0.3787,19.385,pigeonpeas
36.7,50.0,25.0,21.23,56.96,6.81,153.1,111.7,0.734,12.0926,pigeonpeas
20.4,72.4,38.2,28.73,54.96,6.12,129.4,131.0,0.2818,15.79,pigeonpeas
29.0,79.0,30.9,26.47,73.1,5.63,196.6,138.9,0.3671,19.3496,pigeonpeas
31.4,57.2,26.0,27.47,53.76,5.72,139.3,114.6,0.549,14.7679,pigeonpeas
21.7,50.4,34.0,25.81,65.88,5.97,142.4,106.1,0.4306,17.0036,pigeonpeas
31.2,43.2,35.4,27.35,55.53,6.16,78.5,109.8,0.7222,15.1875,pigeonpeas
29.6,59.7,33.9,27.45,56.32,6.52,139.1,123.2,0.4958,15.4598,pigeonpeas
35.4,72.8,23.8,25.26,68.24,6.09,170.1,132.0,0.4863,17.2374,pigeonpeas
22.2,52.5,27.1,24.31,56.96,6.77,113.0,101.8,0.4229,13.847,pigeonpeas
17.3,31.2,30.0,25.65,56.76,6.48,122.5,78.5,0.5545,14.5589,pigeonpeas
22.0,61.7,29.8,27.7,69.06,6.61,168.8,113.5,0.3566,19.1296,pigeonpeas
26.3,64.9,34.5,28.8,72.78,7.17,100.7,125.7,0.4052,20.9606,pigeonpeas
25.3,39.1,17.9,29.56,65.16,6.01,176.7,82.3,0.6471,19.2613,pigeonpeas
22.6,56.8,32.0,25.52,54.76,6.81,129.0,111.4,0.3979,13.9748,pigeonpeas
13.5,59.5,28.3,27.85,55.92,6.59,133.3,101.3,0.2269,15.5737,pigeonpeas
27.8,54.3,25.0,29.89,60.64,6.43,111.3,107.1,0.512,18.1253,pigeonpeas
36.8,47.1,25.5,30.5,62.57,7.04,156.3,109.4,0.7813,19.0838,pigeonpeas
27.8,65.2,28.7,26.82,52.1,7.04,218.8,121.7,0.4264,13.9732,pigeonpeas
28.7,51.0,8.4,26.34,65.78,6.13,168.4,88.1,0.5627,17.3265,pigeonpeas
28.4,40.1,25.8,27.57,60.68,6.51,119.1,94.3,0.7082,16.7295,pigeonpeas
27.4,34.5,24.7,23.55,46.27,6.74,179.1,86.6,0.7942,10.8966,pigeonpeas
30.6,67.6,33.2,26.42,52.57,6.46,135.5,131.4,0.4527,13.889,pigeonpeas
27.4,61.2,25.2,29.23,55.97,6.89,186.2,113.8,0.4477,16.36,pigeonpeas
23.1,55.9,28.7,28.93,59.42,6.74,169.2,107.7,0.4132,17.1902,pigeonpeas
20.2,50.6,39.3,26.19,75.11,7.52,56.7,110.1,0.3992,19.6713,pigeonpeas
23.5,49.7,36.0,27.65,61.91,5.83,114.9,109.2,0.4728,17.1181,pigeonpeas
26.9,44.2,35.4,24.53,53.27,6.54,173.3,106.5,0.6086,13.0671,pigeonpeas
23.1,50.7,27.0,29.11,61.77,6.15,149.5,100.8,0.4556,17.9812,pigeonpeas
26.9,33.8,33.3,26.77,57.18,6.9,114.3,94.0,0.7959,15.3071,pigeonpeas
27.6,47.6,28.6,26.17,62.6,5.79,126.0,103.8,0.5798,16.3824,pigeonpeas
30.0,51.9,28.8,25.91,64.64,6.77,87.8,110.7,0.578,16.7482,pigeonpeas
32.7,61.1,32.5,26.81,69.67,6.28,142.3,126.3,0.5352,18.6785,pigeonpeas
25.5,54.6,26.4,25.66,59.81,6.23,211.3,106.5,0.467,15.3472,pigeonpeas
17.2,62.9,39.0,28.97,73.11,5.88,169.1,119.1,0.2734,21.18,pigeonpeas
22.9,68.5,29.0,25.81,67.26,6.37,210.7,120.4,0.3343,17.3598,pigeonpeas
25.3,65.6,33.7,31.78,54.34,7.14,171.5,124.6,0.3857,17.2693,pigeonpeas
14.0,59.7,38.7,31.4,77.68,6.59,175.8,112.4,0.2345,24.3915,pigeonpeas
33.3,55.1,36.2,24.33,62.62,6.91,204.2,124.6,0.6044,15.2354,pigeonpeas
25.9,45.2,21.5,27.21,53.32,7.43,156.3,92.6,0.573,14.5084,pigeonpeas
27.3,62.4,32.7,25.05,73.22,6.73,139.4,122.4,0.4375,18.3416,pigeonpeas
33.2,71.8,35.1,26.02,76.62,6.32,176.0,140.1,0.4624,19.9365,pigeonpeas
21.2,58.4,35.4,33.01,59.74,6.83,188.6,115.0,0.363,19.7202,pigeonpeas
28.4,74.2,23.3,26.08,55.97,6.33,130.6,125.9,0.3827,14.597,pigeonpeas
24.3,39.7,26.1,28.08,58.62,6.35,123.4,90.1,0.6121,16.4605,pigeonpeas
23.9,43.5,36.0,28.62,65.72,5.84,149.2,103.4,0.5494,18.8091,pigeonpeas
20.4,63.6,25.4,24.0,70.22,7.06,169.9,109.4,0.3208,16.8528,pigeonpeas
35.0,57.6,28.2,24.43,64.56,6.41,168.9,120.8,0.6076,15.772,pigeonpeas
22.7,68.1,39.5,23.38,60.81,6.69,102.3,130.3,0.3333,14.2174,pigeonpeas
29.2,54.8,29.7,24.34,71.98,6.08,202.3,113.7,0.5328,17.5199,pigeonpeas
13.7,46.3,25.6,18.45,57.5,6.82,125.8,85.6,0.2959,10.6088,pigeonpeas
32.1,52.9,24.7,28.63,68.25,6.22,137.0,109.7,0.6068,19.54,pigeonpeas
31.3,39.7,32.0,33.16,57.7,6.53,117.9,103.0,0.7884,19.1333,pigeonpeas
25.6,43.7,22.0,27.44,63.45,7.04,225.9,91.3,0.5858,17.4107,pigeonpeas
23.6,64.7,28.5,22.75,59.09,7.0,152.3,116.8,0.3648,13.443,pigeonpeas
27.4,63.7,32.0,25.07,59.55,6.59,119.5,123.1,0.4301,14.9292,pigeonpeas
38.7,58.6,37.8,25.62,56.98,5.72,170.9,135.1,0.6604,14.5983,pigeonpeas
14.4,37.8,34.0,23.95,70.76,8.1,168.1,86.2,0.381,16.947,pigeonpeas
29.7,51.4,25.7,29.58,54.14,7.47,139.4,106.8,0.5778,16.0146,pigeonpeas
19.5,42.8,37.1,29.43,54.08,6.96,170.2,99.4,0.4556,15.9157,pigeonpeas
24.9,66.8,28.2,23.53,76.97,6.22,120.2,119.9,0.3728,18.111,pigeonpeas
23.5,49.2,22.6,29.18,67.82,6.54,130.2,95.3,0.4776,19.7899,pigeonpeas
22.4,44.1,29.0,31.58,40.92,6.33,84.7,95.5,0.5079,12.9225,pigeonpeas
24.9,55.3,38.6,32.71,55.48,7.23,105.3,118.8,0.4503,18.1475,pigeonpeas
18.2,48.6,31.0,35.6,45.5,6.73,199.2,97.8,0.3745,16.198,pigeonpeas
31.2,69.8,30.1,24.29,52.39,6.21,194.2,131.1,0.447,12.7255,pigeonpeas
14.2,47.7,39.8,35.47,34.89,6.36,147.0,101.7,0.2977,12.3755,pigeonpeas
28.2,41.0,21.4,25.94,58.9,7.16,194.9,90.6,0.6878,15.2787,pigeonpeas
23.0,33.5,22.3,25.22,50.86,7.4,140.2,78.8,0.6866,12.8269,pigeonpeas
18.0,54.7,20.3,27.98,60.48,7.36,137.7,93.0,0.3291,16.9223,pigeonpeas
26.2,49.4,32.2,25.25,47.0,6.98,146.7,107.8,0.5304,11.8675,pigeonpeas
15.7,40.7,31.0,28.2,60.66,6.47,141.3,87.4,0.3857,17.1061,pigeonpeas
25.2,66.9,39.3,23.04,56.68,4.98,138.5,131.4,0.3767,13.0591,pigeonpeas
16.5,61.7,31.5,26.28,72.02,6.75,179.3,109.7,0.2674,18.9269,pigeonpeas
27.8,54.7,27.6,30.86,71.29,6.6,149.5,110.1,0.5082,22.0001,pigeonpeas
19.5,68.6,30.0,26.83,66.28,6.67,166.4,118.1,0.2843,17.7829,pigeonpeas
22.3,61.6,30.7,27.42,57.39,6.63,175.9,114.6,0.362,15.7363,pigeonpeas
26.8,46.8,20.0,28.43,75.88,5.94,156.6,93.6,0.5726,21.5727,pigeonpeas
20.4,44.6,46.3,30.51,47.58,6.88,115.9,111.3,0.4574,14.5167,pigeonpeas
24.7,63.2,33.1,22.03,48.77,6.92,104.4,121.0,0.3908,10.744,pigeonpeas
15.9,59.0,31.3,28.75,59.33,6.94,149.5,106.2,0.2695,17.0574,pigeonpeas
28.8,56.7,33.7,26.2,78.03,7.07,139.9,119.2,0.5079,20.4439,pigeonpeas
35.6,46.5,34.3,27.5,58.38,6.9,147.6,116.4,0.7656,16.0545,pigeonpeas
41.8,61.1,29.2,30.18,58.53,6.39,144.5,132.1,0.6841,17.6644,pigeonpeas
25.5,47.4,26.2,23.42,48.46,6.56,222.5,99.1,0.538,11.3493,pigeonpeas
29.7,54.0,33.6,23.96,67.57,6.65,105.1,117.3,0.55,16.1898,pigeonpeas
14.3,69.5,32.3,21.19,67.63,6.65,85.3,116.1,0.2058,14.3308,pigeonpeas
34.0,48.4,25.1,25.35,66.31,7.1,155.0,107.5,0.7025,16.8096,pigeonpeas
29.7,39.3,38.5,30.99,54.97,6.92,133.7,107.5,0.7557,17.0352,pigeonpeas
22.1,44.5,31.8,26.64,54.35,7.64,154.5,98.4,0.4966,14.4788,pigeonpeas
32.4,64.9,34.4,22.98,49.66,7.7,162.5,131.7,0.4992,11.4119,pigeonpeas
23.5,57.5,38.4,25.54,60.67,6.64,183.5,119.4,0.4087,15.4951,pigeonpeas
22.3,53.7,30.1,22.54,51.36,4.68,99.8,106.1,0.4153,11.5765,pigeonpeas
27.9,49.9,31.9,23.62,50.58,7.22,128.3,109.7,0.5591,11.947,pigeonpeas
18.6,59.9,34.9,28.17,56.61,6.33,157.9,113.4,0.3105,15.947,pigeonpeas
31.1,46.5,25.7,23.48,56.09,6.2,168.1,103.3,0.6688,13.1699,pigeonpeas
18.7,58.1,30.3,30.34,55.7,6.4,210.8,107.1,0.3219,16.8994,pigeonpeas
18.7,47.7,30.8,26.79,63.73,6.38,173.7,97.2,0.392,17.0733,pigeonpeas
19.5,46.0,24.3,27.26,60.63,6.91,143.3,89.8,0.4239,16.5277,pigeonpeas
29.6,48.6,43.9,26.16,57.69,5.82,118.3,122.1,0.6091,15.0917,pigeonpeas
21.3,51.2,21.6,29.32,61.46,6.06,128.1,94.1,0.416,18.0201,pigeonpeas
16.9,54.5,22.2,29.35,52.07,6.77,127.2,93.6,0.3101,15.2825,pigeonpeas
21.4,57.4,37.9,28.01,60.84,6.91,164.7,116.7,0.3728,17.0413,pigeonpeas
24.8,18.1,34.3,28.69,61.2,6.92,152.7,77.2,1.3702,17.5583,pigeonpeas
17.9,46.9,23.8,26.36,47.98,6.21,105.3,88.6,0.3817,12.6475,pigeonpeas
18.1,51.1,33.6,28.63,67.97,6.11,131.9,102.8,0.3542,19.4598,pigeonpeas
37.7,70.1,38.8,25.99,52.95,6.35,171.3,146.6,0.5378,13.7617,pigeonpeas
19.8,44.2,29.8,27.01,60.72,6.72,155.5,93.8,0.448,16.4005,pigeonpeas
23.1,56.6,45.6,26.18,69.32,7.34,162.1,125.3,0.4081,18.148,pigeonpeas
22.8,70.0,19.7,25.63,67.41,5.58,156.5,112.5,0.3257,17.2772,pigeonpeas
22.5,41.9,34.2,24.93,60.27,6.49,193.8,98.6,0.537,15.0253,pigeonpeas
28.7,58.9,37.0,28.4,57.1,5.93,152.1,124.6,0.4873,16.2164,pigeonpeas
30.7,47.0,35.3,30.93,67.58,5.77,133.4,113.0,0.6532,20.9025,pigeonpeas
23.2,50.0,28.8,30.51,65.4,7.08,117.5,102.0,0.464,19.9535,pigeonpeas
17.6,47.0,28.3,23.23,55.05,6.87,152.5,92.9,0.3745,12.7881,pigeonpeas
32.6,47.7,32.7,30.87,53.64,6.82,71.8,113.0,0.6834,16.5587,pigeonpeas
24.4,82.2,34.9,26.05,43.42,7.06,139.5,141.5,0.2968,11.3109,pigeonpeas
35.4,63.4,33.6,28.8,61.23,6.36,138.8,132.4,0.5584,17.6342,pigeonpeas
11.5,66.0,36.2,24.28,59.34,6.38,104.1,113.7,0.1742,14.4078,pigeonpeas
26.2,59.9,23.9,27.43,69.09,7.69,117.2,110.0,0.4374,18.9514,pigeonpeas
36.5,38.9,28.6,27.94,62.87,6.48,169.3,104.0,0.9383,17.5659,pigeonpeas
22.9,58.9,24.4,22.55,70.67,6.97,151.9,106.2,0.3888,15.9361,pigeonpeas
23.6,65.7,27.7,28.82,54.42,6.6,148.1,117.0,0.3592,15.6838,pigeonpeas
26.8,46.5,36.1,31.04,69.11,5.68,154.2,109.4,0.5763,21.4517,pigeonpeas
21.6,64.7,30.6,26.48,55.77,5.58,147.8,116.9,0.3338,14.7679,pigeonpeas
23.1,62.0,45.6,31.08,66.22,6.31,182.3,130.7,0.3726,20.5812,pigeonpeas
23.0,73.5,31.2,26.43,48.33,7.13,148.7,127.7,0.3129,12.7736,pigeonpeas
21.2,50.8,30.4,29.55,61.88,6.99,101.3,102.4,0.4173,18.2855,pigeonpeas
32.4,44.0,30.6,20.34,44.12,7.06,193.9,107.0,0.7364,8.974,pigeonpeas
27.8,51.4,26.2,34.26,57.86,6.11,156.1,105.4,0.5409,19.8228,pigeonpeas
26.5,69.4,29.7,31.49,63.52,7.41,127.3,125.6,0.3818,20.0024,pigeonpeas
29.9,36.7,36.8,26.15,55.83,6.12,107.4,103.4,0.8147,14.5995,pigeonpeas
23.4,34.3,30.7,21.08,51.6,6.71,156.9,88.4,0.6822,10.8773,pigeonpeas
20.4,55.9,25.2,27.86,66.77,6.59,141.5,101.5,0.3649,18.6021,pigeonpeas
21.4,50.6,24.4,22.67,59.17,6.51,192.2,96.4,0.4229,13.4138,pigeonpeas
25.0,55.1,27.3,28.33,56.08,7.27,134.6,107.4,0.4537,15.8875,pigeonpeas
18.6,64.5,30.4,28.23,60.34,6.25,119.9,113.5,0.2884,17.034,pigeonpeas
22.0,49.5,37.2,24.18,81.09,5.93,171.9,108.7,0.4444,19.6076,pigeonpeas
21.9,36.3,22.0,30.36,69.23,6.61,172.8,80.2,0.6033,21.0182,pigeonpeas
37.7,75.4,28.1,29.42,69.3,6.4,150.1,141.2,0.5,20.3881,pigeonpeas
8.4,45.0,30.9,29.93,63.48,8.29,165.3,84.3,0.1867,18.9996,pigeonpeas
23.9,44.4,19.0,27.03,61.33,6.94,143.9,87.3,0.5383,16.5775,pigeonpeas
15.9,18.4,24.4,39.48,47.65,7.73,66.3,58.7,0.8641,18.8122,mothbeans
19.7,21.3,15.6,28.98,50.73,7.52,72.7,56.6,0.9249,14.7016,mothbeans
17.5,27.6,12.2,25.34,44.99,7.9,68.0,57.3,0.6341,11.4005,mothbeans
14.3,25.0,20.6,23.99,20.58,7.69,33.5,59.9,0.572,4.9371,mothbeans
20.4,29.7,25.0,31.4,38.45,7.25,74.9,75.1,0.6869,12.0733,mothbeans
5.5,25.9,20.7,29.35,28.44,7.17,74.1,52.1,0.2124,8.3471,mothbeans
23.2,23.2,18.8,32.83,37.97,7.56,72.5,65.2,1.0,12.4656,mothbeans
8.2,35.7,19.6,32.53,49.8,7.69,65.6,63.5,0.2297,16.1999,mothbeans
12.5,24.5,23.7,25.59,43.05,8.1,63.3,60.7,0.5102,11.0165,mothbeans
14.8,30.8,14.5,24.74,51.48,8.0,75.5,60.1,0.4805,12.7362,mothbeans
14.4,23.0,17.6,33.18,43.42,7.13,88.9,55.0,0.6261,14.4068,mothbeans
19.0,28.5,16.2,32.54,27.02,7.35,45.7,63.7,0.6667,8.7923,mothbeans
10.8,29.6,13.3,30.3,15.0,7.74,76.2,53.7,0.3649,4.545,mothbeans
16.0,26.0,16.7,25.37,41.49,7.93,58.7,58.7,0.6154,10.526,mothbeans
12.7,13.2,22.4,33.89,37.86,7.87,58.1,48.3,0.9621,12.8308,mothbeans
16.2,25.1,20.3,37.09,30.23,7.37,37.0,61.6,0.6454,11.2123,mothbeans
14.7,31.2,20.6,33.11,22.99,6.77,55.7,66.5,0.4712,7.612,mothbeans
15.4,27.6,18.6,28.61,32.65,6.9,45.0,61.6,0.558,9.3412,mothbeans
12.8,27.2,20.1,32.18,38.06,7.54,53.0,60.1,0.4706,12.2477,mothbeans
13.0,16.4,14.8,26.54,46.66,7.57,43.5,44.2,0.7927,12.3836,mothbeans
16.1,21.4,16.8,36.23,41.89,6.85,53.3,54.3,0.7523,15.1767,mothbeans
18.8,27.1,18.8,32.33,56.08,7.42,53.9,64.7,0.6937,18.1307,mothbeans
12.6,27.1,19.1,24.93,29.64,7.72,61.5,58.8,0.4649,7.3893,mothbeans
11.5,31.1,19.3,30.8,48.81,6.82,35.8,61.9,0.3698,15.0335,mothbeans
17.5,24.3,17.4,33.85,40.47,7.95,38.3,59.2,0.7202,13.6991,mothbeans
14.9,27.0,16.5,30.67,46.95,7.21,65.4,58.4,0.5519,14.3996,mothbeans
18.3,25.1,30.6,30.9,35.63,8.03,48.0,74.0,0.7291,11.0097,mothbeans
11.4,20.1,21.6,27.1,50.72,7.13,76.1,53.1,0.5672,13.7451,mothbeans
7.9,13.7,19.7,34.27,42.95,6.89,63.4,41.3,0.5766,14.719,mothbeans
12.9,27.2,17.1,29.41,33.21,7.17,69.1,57.2,0.4743,9.7671,mothbeans
11.9,25.9,16.2,23.37,39.88,7.35,81.2,54.0,0.4595,9.32,mothbeans
14.7,21.9,17.5,30.51,37.6,7.21,55.4,54.1,0.6712,11.4718,mothbeans
12.5,16.9,19.2,35.92,44.89,7.29,51.4,48.6,0.7396,16.1245,mothbeans
